Label,NodeID,Value,Timestamp,packet_size
1,s1_h5,0,13969,128
1,s2_h5,0,13969,128
1,s3_h5,0,13969,128
0,s4_h5,94,13969,128
1,s1_f5,0,13969,128
1,s2_f5,0,13969,128
1,s3_f5,0,13969,128
1,s4_f5,0,13969,128
1,s1_h1,96,13969,128
1,s1_h3,0,13969,128
1,s1_f4,0,13969,128
1,s1_h1,96,13970,128
1,s2_h1,97,13970,128
0,s3_h1,14,13970,128
1,s4_h1,96,13970,128
0,s1_f1,99,13970,128
1,s2_f1,0,13970,128
1,s3_f1,0,13970,128
1,s4_f1,0,13970,128
1,s1_h2,0,13970,128
1,s2_h2,0,13970,128
1,s3_h2,0,13970,128
1,s4_h2,0,13970,128
0,s1_f2,85,13970,128
1,s2_f2,0,13970,128
1,s3_f2,0,13970,128
1,s4_f2,0,13970,128
0,s1_h3,95,13970,128
1,s2_h3,0,13970,128
1,s3_h3,0,13970,128
1,s4_h3,0,13970,128
1,s1_f3,0,13970,128
1,s2_f3,0,13970,128
1,s3_f3,0,13970,128
1,s4_f3,0,13970,128
1,s1_h4,0,13970,128
1,s2_h4,0,13970,128
1,s3_h4,0,13970,128
1,s4_h4,0,13970,128
1,s1_f4,0,13970,128
1,s2_f4,0,13970,128
1,s3_f4,0,13970,128
1,s4_f4,0,13970,128
1,s1_h5,0,13970,128
1,s2_h5,0,13970,128
1,s3_h5,0,13970,128
1,s4_h5,0,13970,128
1,s1_f5,0,13970,128
1,s2_f5,0,13970,128
1,s3_f5,0,13970,128
1,s4_f5,0,13970,128
1,s1_h1,96,13971,128
1,s2_h1,97,13971,128
0,s3_h1,6,13971,128
1,s4_h1,96,13971,128
0,s1_f1,88,13971,128
1,s2_f1,0,13971,128
1,s3_f1,0,13971,128
1,s4_f1,0,13971,128
1,s1_h2,0,13971,128
1,s2_h2,0,13971,128
1,s3_h2,0,13971,128
1,s4_h2,0,13971,128
0,s1_f2,95,13971,128
1,s2_f2,0,13971,128
1,s3_f2,0,13971,128
1,s4_f2,0,13971,128
0,s1_h3,89,13971,128
1,s2_h3,0,13971,128
1,s3_h3,0,13971,128
1,s4_h3,0,13971,128
1,s1_f3,0,13971,128
1,s2_f3,0,13971,128
1,s3_f3,0,13971,128
1,s4_f3,0,13971,128
1,s1_h4,0,13971,128
1,s2_h4,0,13971,128
1,s3_h4,0,13971,128
1,s4_h4,0,13971,128
1,s1_f4,0,13971,128
1,s2_f4,0,13971,128
1,s3_f4,0,13971,128
1,s4_f4,0,13971,128
1,s1_h5,0,13971,128
1,s2_h5,0,13971,128
1,s3_h5,0,13971,128
1,s4_h5,0,13971,128
1,s1_f5,0,13971,128
1,s2_f5,0,13971,128
1,s3_f5,0,13971,128
1,s4_f5,0,13971,128
1,s1_h1,96,13972,128
1,s2_h1,97,13972,128
0,s3_h1,11,13972,128
1,s4_h1,96,13972,128
0,s1_f1,99,13972,128
1,s2_f1,0,13972,128
1,s3_f1,0,13972,128
1,s4_f1,0,13972,128
1,s1_h2,0,13972,128
1,s2_h2,0,13972,128
1,s3_h2,0,13972,128
1,s4_h2,0,13972,128
0,s1_f2,89,13972,128
1,s2_f2,0,13972,128
1,s3_f2,0,13972,128
1,s4_f2,0,13972,128
0,s1_h3,82,13972,128
1,s2_h3,0,13972,128
1,s3_h3,0,13972,128
1,s4_h3,0,13972,128
1,s1_f3,0,13972,128
1,s2_f3,0,13972,128
1,s3_f3,0,13972,128
1,s4_f3,0,13972,128
1,s1_h4,0,13972,128
1,s2_h4,0,13972,128
1,s3_h4,0,13972,128
1,s4_h4,0,13972,128
1,s1_f4,0,13972,128
1,s2_f4,0,13972,128
1,s3_f4,0,13972,128
1,s4_f4,0,13972,128
1,s1_h5,0,13972,128
1,s2_h5,0,13972,128
1,s3_h5,0,13972,128
1,s4_h5,0,13972,128
1,s1_f5,0,13972,128
1,s2_f5,0,13972,128
1,s3_f5,0,13972,128
1,s4_f5,0,13972,128
1,s1_h1,96,13973,128
1,s2_h1,97,13973,128
0,s3_h1,3,13973,128
1,s4_h1,96,13973,128
0,s1_f1,99,13973,128
1,s2_f1,0,13973,128
1,s3_f1,0,13973,128
1,s4_f1,0,13973,128
1,s1_h2,0,13973,128
1,s2_h2,0,13973,128
1,s3_h2,0,13973,128
1,s4_h2,0,13973,128
0,s1_f2,90,13973,128
1,s2_f2,0,13973,128
1,s3_f2,0,13973,128
1,s4_f2,0,13973,128
0,s1_h3,100,13973,128
1,s2_h3,0,13973,128
1,s3_h3,0,13973,128
1,s4_h3,0,13973,128
1,s1_f3,0,13973,128
1,s2_f3,0,13973,128
1,s3_f3,0,13973,128
1,s4_f3,0,13973,128
1,s1_h4,0,13973,128
1,s2_h4,0,13973,128
1,s3_h4,0,13973,128
1,s4_h4,0,13973,128
1,s1_f4,0,13973,128
1,s2_f4,0,13973,128
1,s3_f4,0,13973,128
1,s4_f4,0,13973,128
1,s1_h5,0,13973,128
1,s2_h5,0,13973,128
1,s3_h5,0,13973,128
1,s4_h5,0,13973,128
1,s1_f5,0,13973,128
1,s2_f5,0,13973,128
1,s3_f5,0,13973,128
1,s4_f5,0,13973,128
1,s1_h1,96,13974,128
1,s2_h1,97,13974,128
0,s3_h1,7,13974,128
1,s4_h1,96,13974,128
0,s1_f1,86,13974,128
1,s2_f1,0,13974,128
1,s3_f1,0,13974,128
1,s4_f1,0,13974,128
1,s1_h2,0,13974,128
1,s2_h2,0,13974,128
1,s3_h2,0,13974,128
1,s4_h2,0,13974,128
0,s1_f2,96,13974,128
1,s2_f2,0,13974,128
1,s3_f2,0,13974,128
1,s4_f2,0,13974,128
0,s1_h3,97,13974,128
1,s2_h3,0,13974,128
1,s3_h3,0,13974,128
1,s4_h3,0,13974,128
1,s1_f3,0,13974,128
1,s2_f3,0,13974,128
1,s3_f3,0,13974,128
1,s4_f3,0,13974,128
1,s1_h4,0,13974,128
1,s2_h4,0,13974,128
1,s3_h4,0,13974,128
1,s4_h4,0,13974,128
1,s1_f4,0,13974,128
1,s2_f4,0,13974,128
1,s3_f4,0,13974,128
1,s4_f4,0,13974,128
1,s1_h5,0,13974,128
1,s2_h5,0,13974,128
1,s3_h5,0,13974,128
1,s4_h5,0,13974,128
1,s1_f5,0,13974,128
1,s2_f5,0,13974,128
1,s3_f5,0,13974,128
1,s4_f5,0,13974,128
1,s1_h1,96,13975,128
1,s2_h1,97,13975,128
0,s3_h1,2,13975,128
1,s4_h1,96,13975,128
0,s1_f1,97,13975,128
1,s2_f1,0,13975,128
1,s3_f1,0,13975,128
1,s4_f1,0,13975,128
1,s1_h2,0,13975,128
1,s2_h2,0,13975,128
1,s3_h2,0,13975,128
1,s4_h2,0,13975,128
0,s1_f2,99,13975,128
1,s2_f2,0,13975,128
1,s3_f2,0,13975,128
1,s4_f2,0,13975,128
0,s1_h3,94,13975,128
1,s2_h3,0,13975,128
1,s3_h3,0,13975,128
1,s4_h3,0,13975,128
1,s1_f3,0,13975,128
1,s2_f3,0,13975,128
1,s3_f3,0,13975,128
1,s4_f3,0,13975,128
1,s1_h4,0,13975,128
1,s2_h4,0,13975,128
1,s3_h4,0,13975,128
1,s4_h4,0,13975,128
1,s1_f4,0,13975,128
1,s2_f4,0,13975,128
1,s3_f4,0,13975,128
1,s4_f4,0,13975,128
1,s1_h5,0,13975,128
1,s2_h5,0,13975,128
1,s3_h5,0,13975,128
1,s4_h5,0,13975,128
1,s1_f5,0,13975,128
1,s2_f5,0,13975,128
1,s3_f5,0,13975,128
1,s4_f5,0,13975,128
1,s1_h1,96,13976,128
1,s2_h1,97,13976,128
0,s3_h1,4,13976,128
1,s4_h1,96,13976,128
0,s1_f1,94,13976,128
1,s2_f1,0,13976,128
1,s3_f1,0,13976,128
1,s4_f1,0,13976,128
1,s1_h2,0,13976,128
1,s2_h2,0,13976,128
1,s3_h2,0,13976,128
1,s4_h2,0,13976,128
0,s1_f2,91,13976,128
1,s2_f2,0,13976,128
1,s3_f2,0,13976,128
1,s4_f2,0,13976,128
0,s1_h3,90,13976,128
1,s2_h3,0,13976,128
1,s3_h3,0,13976,128
1,s4_h3,0,13976,128
1,s1_f3,0,13976,128
1,s2_f3,0,13976,128
1,s3_f3,0,13976,128
1,s4_f3,0,13976,128
1,s1_h4,0,13976,128
1,s2_h4,0,13976,128
1,s3_h4,0,13976,128
1,s4_h4,0,13976,128
1,s1_f4,0,13976,128
1,s2_f4,0,13976,128
1,s3_f4,0,13976,128
1,s4_f4,0,13976,128
1,s1_h5,0,13976,128
1,s2_h5,0,13976,128
1,s3_h5,0,13976,128
1,s4_h5,0,13976,128
1,s1_f5,0,13976,128
1,s2_f5,0,13976,128
1,s3_f5,0,13976,128
1,s4_f5,0,13976,128
1,s1_h1,96,13977,128
1,s2_h1,97,13977,128
0,s3_h1,9,13977,128
1,s4_h1,96,13977,128
0,s1_f1,92,13977,128
1,s2_f1,0,13977,128
1,s3_f1,0,13977,128
1,s4_f1,0,13977,128
1,s1_h2,0,13977,128
1,s2_h2,0,13977,128
1,s3_h2,0,13977,128
1,s4_h2,0,13977,128
0,s1_f2,100,13977,128
1,s2_f2,0,13977,128
1,s3_f2,0,13977,128
1,s4_f2,0,13977,128
0,s1_h3,81,13977,128
1,s2_h3,0,13977,128
1,s3_h3,0,13977,128
1,s4_h3,0,13977,128
1,s1_f3,0,13977,128
1,s2_f3,0,13977,128
1,s3_f3,0,13977,128
