NodeID,Timestamp,Value
s4_f1,7280,1
s1_h2,7280,1
s2_h2,7280,1
s3_h2,7280,1
s4_h2,7280,1
s1_f2,7280,1
s2_f2,7280,1
s3_f2,7280,1
s4_f2,7280,1
s1_h3,7280,1
s2_h3,7280,1
s3_h3,7280,1
s4_h3,7280,1
s1_f3,7280,1
s2_f3,7280,1
s3_f3,7280,1
s4_f3,7280,1
s1_h4,7280,1
s2_h4,7280,1
s3_h4,7280,1
s4_h4,7280,1
s1_f4,7280,1
s2_f4,7280,1
s3_f4,7280,1
s4_f4,7280,1
s1_h5,7280,3
s2_h5,7280,3
s3_h5,7280,3
s4_h5,7280,3
s1_f5,7280,1
s2_f5,7280,1
s3_f5,7280,1
s4_f5,7280,1
s1_h1,7420,50
s2_h1,7420,51
s3_h1,7420,50
s4_h1,7420,50
s1_f1,7420,1
s2_f1,7420,1
s3_f1,7420,1
s4_f1,7420,1
s1_h2,7420,1
s2_h2,7420,1
s3_h2,7420,1
s4_h2,7420,1
s1_f2,7420,1
s2_f2,7420,1
s3_f2,7420,1
s4_f2,7420,1
s1_h3,7420,1
s2_h3,7420,1
s3_h3,7420,1
s4_h3,7420,1
s1_f3,7420,1
s2_f3,7420,1
s3_f3,7420,1
s4_f3,7420,1
s1_h4,7420,1
s2_h4,7420,1
s3_h4,7420,1
s4_h4,7420,1
s1_f4,7420,1
s2_f4,7420,1
s3_f4,7420,1
s4_f4,7420,1
s1_h5,7420,1
s2_h5,7420,1
s3_h5,7420,1
s4_h5,7420,1
s1_f5,7420,1
s2_f5,7420,1
s3_f5,7420,1
s4_f5,7420,1
s1_h1,7560,51
s2_h1,7560,52
s3_h1,7560,51
s4_h1,7560,51
s1_f1,7560,1
s2_f1,7560,1
s3_f1,7560,1
s4_f1,7560,1
s1_h2,7560,1
s2_h2,7560,1
s3_h2,7560,1
s4_h2,7560,1
s1_f2,7560,1
s2_f2,7560,1
s3_f2,7560,1
s4_f2,7560,1
s1_h3,7560,1
s2_h3,7560,1
s3_h3,7560,1
s4_h3,7560,1
s1_f3,7560,1
s2_f3,7560,1
s3_f3,7560,1
s4_f3,7560,1
s1_h4,7560,1
s2_h4,7560,1
s3_h4,7560,1
s4_h4,7560,1
s1_f4,7560,1
s2_f4,7560,1
s3_f4,7560,1
s4_f4,7560,1
s1_h5,7560,2
s2_h5,7560,2
s3_h5,7560,2
s4_h5,7560,2
s1_f5,7560,1
s2_f5,7560,1
s3_f5,7560,1
s4_f5,7560,1
s1_h1,7700,52
s2_h1,7700,53
s3_h1,7700,52
s4_h1,7700,52
s1_f1,7700,1
s2_f1,7700,1
s3_f1,7700,1
s4_f1,7700,1
s1_h2,7700,1
s2_h2,7700,1
s3_h2,7700,1
s4_h2,7700,1
s1_f2,7700,1
s2_f2,7700,1
s3_f2,7700,1
s4_f2,7700,1
s1_h3,7700,1
s2_h3,7700,1
s3_h3,7700,1
s4_h3,7700,1
s1_f3,7700,1
s2_f3,7700,1
s3_f3,7700,1
s4_f3,7700,1
s1_h4,7700,1
s2_h4,7700,1
s3_h4,7700,1
s4_h4,7700,1
s1_f4,7700,1
s2_f4,7700,1
s3_f4,7700,1
s4_f4,7700,1
s1_h5,7700,1
s2_h5,7700,1
s3_h5,7700,1
s4_h5,7700,1
s1_f5,7700,1
s2_f5,7700,1
s3_f5,7700,1
s4_f5,7700,1
s1_h1,7840,53
s2_h1,7840,54
s3_h1,7840,53
s4_h1,7840,53
s1_f1,7840,1
s2_f1,7840,1
s3_f1,7840,1
s4_f1,7840,1
s1_h2,7840,1
s2_h2,7840,1
s3_h2,7840,1
s4_h2,7840,1
s1_f2,7840,1
s2_f2,7840,1
s3_f2,7840,1
s4_f2,7840,1
s1_h3,7840,1
s2_h3,7840,1
s3_h3,7840,1
s4_h3,7840,1
s1_f3,7840,1
s2_f3,7840,1
s3_f3,7840,1
s4_f3,7840,1
s1_h4,7840,1
s2_h4,7840,1
s3_h4,7840,1
s4_h4,7840,1
s1_f4,7840,1
s2_f4,7840,1
s3_f4,7840,1
s4_f4,7840,1
s1_h5,7840,2
s2_h5,7840,2
s3_h5,7840,2
s4_h5,7840,2
s1_f5,7840,1
s2_f5,7840,1
s3_f5,7840,1
s4_f5,7840,1
s1_h1,7980,54
s2_h1,7980,55
s3_h1,7980,54
s4_h1,7980,54
s1_f1,7980,1
s2_f1,7980,1
s3_f1,7980,1
s4_f1,7980,1
s1_h2,7980,1
s2_h2,7980,1
s3_h2,7980,1
s4_h2,7980,1
s1_f2,7980,1
s2_f2,7980,1
s3_f2,7980,1
s4_f2,7980,1
s1_h3,7980,1
s2_h3,7980,1
s3_h3,7980,1
s4_h3,7980,1
s1_f3,7980,1
s2_f3,7980,1
s3_f3,7980,1
s4_f3,7980,1
s1_h4,7980,1
s2_h4,7980,1
s3_h4,7980,1
s4_h4,7980,1
s1_f4,7980,1
s2_f4,7980,1
s3_f4,7980,1
s4_f4,7980,1
s1_h5,7980,1
s2_h5,7980,1
s3_h5,7980,1
s4_h5,7980,1
s1_f5,7980,1
s2_f5,7980,1
s3_f5,7980,1
s4_f5,7980,1
s1_h1,8120,55
s2_h1,8120,56
s3_h1,8120,55
s4_h1,8120,55
s1_f1,8120,1
s2_f1,8120,1
s3_f1,8120,1
s4_f1,8120,1
s1_h2,8120,1
s2_h2,8120,1
s3_h2,8120,1
s4_h2,8120,1
s1_f2,8120,1
s2_f2,8120,1
s3_f2,8120,1
s4_f2,8120,1
s1_h3,8120,1
s2_h3,8120,1
s3_h3,8120,1
s4_h3,8120,1
s1_f3,8120,1
s2_f3,8120,1
s3_f3,8120,1
s4_f3,8120,1
s1_h4,8120,1
s2_h4,8120,1
s3_h4,8120,1
s4_h4,8120,1
s1_f4,8120,1
s2_f4,8120,1
s3_f4,8120,1
s4_f4,8120,1
s1_h5,8120,2
s2_h5,8120,2
s3_h5,8120,2
s4_h5,8120,2
s1_f5,8120,1
s2_f5,8120,1
s3_f5,8120,1
s4_f5,8120,1
s1_h1,8260,56
s2_h1,8260,57
s3_h1,8260,56
s4_h1,8260,56
s1_f1,8260,1
s2_f1,8260,1
s3_f1,8260,1
s4_f1,8260,1
s1_h2,8260,1
s2_h2,8260,1
s3_h2,8260,1
s4_h2,8260,1
s1_f2,8260,1
s2_f2,8260,1
s3_f2,8260,1
s4_f2,8260,1
s1_h3,8260,1
s2_h3,8260,1
s3_h3,8260,1
s4_h3,8260,1
s1_f3,8260,1
s2_f3,8260,1
s3_f3,8260,1
s4_f3,8260,1
s1_h4,8260,1
s2_h4,8260,1
s3_h4,8260,1
s4_h4,8260,1
s1_f4,8260,1
s2_f4,8260,1
s3_f4,8260,1
s4_f4,8260,1
s1_h5,8260,1
s2_h5,8260,1
s3_h5,8260,1
s4_h5,8260,1
s1_f5,8260,1
s2_f5,8260,1
s3_f5,8260,1
s4_f5,8260,1
s1_h1,8400,57
s2_h1,8400,58
s3_h1,8400,57
s4_h1,8400,57
s1_f1,8400,1
s2_f1,8400,1
s3_f1,8400,1
s4_f1,8400,1
s1_h2,8400,1
s2_h2,8400,1
s3_h2,8400,1
s4_h2,8400,1
s1_f2,8400,1
s2_f2,8400,1
s3_f2,8400,1
s4_f2,8400,1
s1_h3,8400,1
s2_h3,8400,1
s3_h3,8400,1
s4_h3,8400,1
s1_f3,8400,1
s2_f3,8400,1
s3_f3,8400,1
s4_f3,8400,1
s1_h4,8400,1
s2_h4,8400,1
s3_h4,8400,1
s4_h4,8400,1
s1_f4,8400,1
s2_f4,8400,1
s3_f4,8400,1
s4_f4,8400,1
s1_h5,8400,1
s2_h5,8400,1
s3_h5,8400,1
s4_h5,8400,1
s1_f5,8400,1
s2_f5,8400,1
s3_f5,8400,1
s4_f5,8400,1
s1_h1,8540,58
s2_h1,8540,59
s3_h1,8540,58
s4_h1,8540,58
s1_f1,8540,1
s2_f1,8540,1
s3_f1,8540,1
s4_f1,8540,1
s1_h2,8540,1
s2_h2,8540,1
s3_h2,8540,1
s4_h2,8540,1
s1_f2,8540,1
s2_f2,8540,1
s3_f2,8540,1
s4_f2,8540,1
s1_h3,8540,1
s2_h3,8540,1
s3_h3,8540,1
s4_h3,8540,1
s1_f3,8540,1
s2_f3,8540,1
s3_f3,8540,1
s4_f3,8540,1
s1_h4,8540,1
s2_h4,8540,1
s3_h4,8540,1
s4_h4,8540,1
s1_f4,8540,1
s2_f4,8540,1
s3_f4,8540,1
s4_f4,8540,1
s1_h5,8540,1
s2_h5,8540,1
s3_h5,8540,1
s4_h5,8540,1
s1_f5,8540,1
s2_f5,8540,1
s3_f5,8540,1
s4_f5,8540,1
s1_h1,8680,59
s2_h1,8680,60
s3_h1,8680,59
s4_h1,8680,59
s1_f1,8680,1
s2_f1,8680,1
s3_f1,8680,1
s4_f1,8680,1
s1_h2,8680,1
s2_h2,8680,1
s3_h2,8680,1
s4_h2,8680,1
s1_f2,8680,1
s2_f2,8680,1
s3_f2,8680,1
s4_f2,8680,1
s1_h3,8680,1
s2_h3,8680,1
s3_h3,8680,1
s4_h3,8680,1
s1_f3,8680,1
s2_f3,8680,1
s3_f3,8680,1
s4_f3,8680,1
s1_h4,8680,1
s2_h4,8680,1
s3_h4,8680,1
s4_h4,8680,1
s1_f4,8680,1
s2_f4,8680,1
s3_f4,8680,1
s4_f4,8680,1
s1_h5,8680,1
s2_h5,8680,1
s3_h5,8680,1
s4_h5,8680,1
s1_f5,8680,1
s2_f5,8680,1
s3_f5,8680,1
s4_f5,8680,1
s1_h1,8820,60
s2_h1,8820,61
s3_h1,8820,60
s4_h1,8820,60
s1_f1,8820,1
s2_f1,8820,1
s3_f1,8820,1
s4_f1,8820,1
s1_h2,8820,1
s2_h2,8820,1
s3_h2,8820,1
s4_h2,8820,1
s1_f2,8820,1
s2_f2,8820,1
s3_f2,8820,1
s4_f2,8820,1
s1_h3,8820,1
s2_h3,8820,1
s3_h3,8820,1
s4_h3,8820,1
s1_f3,8820,1
s2_f3,8820,1
s3_f3,8820,1
s4_f3,8820,1
s1_h4,8820,2
s2_h4,8820,2
s3_h4,8820,2
s4_h4,8820,2
s1_f4,8820,1
s2_f4,8820,1
s3_f4,8820,1
s4_f4,8820,1
s1_h5,8820,1
s2_h5,8820,1
s3_h5,8820,1
s4_h5,8820,1
s1_f5,8820,1
s2_f5,8820,1
s3_f5,8820,1
s4_f5,8820,1
s1_h1,8960,61
s2_h1,8960,62
s3_h1,8960,61
s4_h1,8960,61
s1_f1,8960,1
s2_f1,8960,1
s3_f1,8960,1
s4_f1,8960,1
s1_h2,8960,1
s2_h2,8960,1
s3_h2,8960,1
s4_h2,8960,1
s1_f2,8960,1
s2_f2,8960,1
s3_f2,8960,1
s4_f2,8960,1
s1_h3,8960,1
s2_h3,8960,1
s3_h3,8960,1
s4_h3,8960,1
s1_f3,8960,1
s2_f3,8960,1
s3_f3,8960,1
s4_f3,8960,1
s1_h4,8960,1
s2_h4,8960,1
s3_h4,8960,1
s4_h4,8960,1
s1_f4,8960,1
